Item,Indentation,"Allconsumerunits","Lowest20percent","Second20percent","Third20percent","Fourth20percent","Highest20percent"
Dried beans*,6,4.98,3.51,4.50,4.92,5.45,6.50
Dried miscellaneous vegetables*,6,11.23,6.96,9.87,8.62,14.12,16.58
Dried processed vegetables*,6,.39,.33,.65,.46,b/,.49
Frozen vegetable juices*,6,.93,1.00,.60,.57,.73,1.75
Fresh and canned vegetable juices*,6,16.63,12.17,15.63,14.35,18.60,22.36
Candy and chewing gum*,5,94.15,56.17,67.81,79.96,103.30,163.42
Sugar*,5,18.83,13.75,16.08,17.75,23.37,23.21
Artificial sweeteners*,5,5.69,2.40,3.03,8.20,8.30,6.51
"Jams, preserves, other sweets*",5,29.19,19.48,22.35,27.22,36.04,40.86
Margarine*,5,6.10,3.62,4.70,6.05,6.79,9.34
Fats and oils*,5,36.79,26.87,26.68,29.99,41.25,59.14
Salad dressings*,5,29.21,16.64,22.23,27.95,39.21,39.99
Nondairy cream and imitation milk*,5,20.80,12.38,17.47,18.90,26.33,28.89
Peanut butter*,5,18.48,11.02,13.60,16.93,20.88,29.97
Frozen meals*,6,60.04,42.83,45.59,58.88,73.61,79.29
Other frozen prepared foods*,6,70.33,48.14,52.73,71.06,87.33,92.35
Canned and packaged soups*,5,44.70,31.30,33.45,38.31,51.30,69.10
Potato chips and other snacks*,6,117.58,65.44,87.59,114.30,145.92,174.59
Nuts*,6,50.11,24.46,34.28,39.44,61.53,90.80
"Salt, spices, other seasonings*",6,43.12,24.58,30.40,37.76,50.48,72.35
"Olives, pickles, relishes*",6,17.52,7.90,12.64,13.15,24.11,29.81
Sauces and gravies*,6,59.84,31.35,41.82,57.77,76.20,92.03
Baking needs and miscellaneous products*,6,27.65,12.28,23.67,23.91,33.23,45.13
Prepared salads*,6,44.05,22.52,31.49,37.90,53.31,74.98
Prepared desserts*,6,13.05,6.76,8.21,14.47,17.13,18.66
Baby food*,6,23.11,13.94,13.40,26.10,26.67,35.42
Miscellaneous prepared foods*,6,161.97,103.15,117.48,144.39,188.33,256.38
Vitamin supplements*,6,1.32,b/,b/,1.56,b/,5.03
Cola*,5,67.27,53.90,61.69,61.20,77.02,82.52
Other carbonated drinks*,5,68.69,45.69,58.06,62.40,81.65,95.62
Tea*,5,33.20,21.90,25.71,34.22,38.81,45.36
Roasted coffee*,6,55.60,41.42,42.43,43.55,61.43,89.12
Instant and freeze dried coffee*,6,40.18,31.66,32.76,34.89,44.02,57.53
"Noncarbonated fruit flavored drinks, including non-frozen lemonade*",5,25.51,20.10,23.40,26.05,29.22,28.78
Other noncarbonated beverages and ice*,5,18.65,8.20,15.35,16.52,24.90,28.27
Bottled water*,5,64.02,44.22,48.46,62.98,80.89,83.53
Sports drinks*,5,19.87,13.97,14.94,15.67,23.79,30.96
Nonalcoholic beer*,5,.24,b/,b/,b/,.38,.83
Food prepared by consumer unit on out-of-town trips,4,55.09,13.96,32.48,38.14,66.02,125.07
"Lunch at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)*",5,428.18,223.26,296.22,400.33,505.86,714.90
Lunch at full service restaurants*,5,370.19,161.77,215.12,273.55,450.71,749.39
Lunch at vending machines and mobile vendors*,5,11.29,7.06,7.91,10.60,12.41,18.44
Lunch at employer and school cafeterias*,5,64.21,33.13,19.82,38.71,84.95,144.37
"Dinner at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)*",5,446.34,239.13,328.44,427.49,500.19,736.11
Dinner at full service restaurants*,5,832.92,273.30,441.37,617.69,974.66,"1,856.36"
Dinner at vending machines and mobile vendors*,5,4.33,2.71,3.56,4.80,6.46,4.11
Dinner at employer and school cafeterias*,5,7.07,16.14,6.16,4.10,3.75,5.21
"Snacks and nonalcoholic beverages at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)*",5,150.06,70.71,75.67,119.00,188.40,296.34
Snacks and nonalcoholic beverages at full service restaurants*,5,51.29,23.13,25.60,42.42,59.77,105.46
Snacks and nonalcoholic beverages at vending machines and mobile vendors*,5,28.03,14.98,24.28,23.93,33.13,43.84
Snacks and nonalcoholic beverages at employer and school cafeterias*,5,7.65,6.12,5.33,5.08,9.26,12.47
"Breakfast and brunch at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)*",5,168.14,96.14,118.20,149.70,186.49,290.01
Breakfast and brunch at full service restaurants*,5,132.41,62.41,84.18,104.45,163.86,247.01
Breakfast and brunch at vending machines and mobile vendors*,5,3.67,1.11,1.35,4.85,6.32,4.73
Breakfast and brunch at employer and school cafeterias*,5,11.15,9.65,6.39,6.18,14.09,19.45
Food or board at school,3,29.38,5.58,20.62,6.65,23.02,91.18
Catered affairs,3,32.44,1.74,8.99,19.73,28.98,102.99
Food on out-of-town trips,3,291.74,79.25,130.44,191.82,333.33,725.48
School lunches,3,49.71,7.58,14.31,34.13,81.04,111.78
Meals as pay,3,33.92,24.78,32.12,41.53,31.17,39.99
Beer and ale*,3,116.83,48.59,81.79,95.93,155.74,201.98
Whiskey*,3,16.13,4.42,12.58,10.47,20.85,32.31
Wine*,3,110.18,31.96,55.21,68.39,120.84,274.30
Other alcoholic beverages*,3,24.01,13.04,18.71,20.71,27.73,39.85
"Beer and ale at fast food, take-out, delivery, concession stands, buffet and cafeteria*",4,9.71,3.93,6.26,7.92,12.95,17.48
Beer and ale at full service restaurants*,4,57.94,13.80,24.49,48.27,74.14,128.93
Beer and ale at vending machines and mobile vendors*,4,.75,b/,1.04,.32,1.22,1.18
Beer at employer*,4,.04,b/,b/,b/,b/,.19
Beer at board*,4,b/,b/,b/,b/,b/,b/
Beer and ale at catered affairs*,4,b/,b/,b/,b/,b/,b/
"Wine at fast food, take-out, delivery, concession stands, buffet and cafeteria*",4,1.81,1.85,b/,1.64,2.37,3.21
Wine at full service restaurants*,4,35.92,6.25,9.74,20.36,30.13,113.03
Wine at vending machines and mobile vendors*,4,.46,.35,.10,b/,.05,1.79
Wine at employer*,4,.15,b/,b/,b/,b/,.75
Wine at board*,4,b/,b/,b/,b/,b/,b/
Wine at catered affairs*,4,b/,b/,b/,b/,b/,b/
"Other alcoholic beverages at fast food, take-out, delivery, concession stands, buffet and cafeteria*",4,6.70,3.48,6.24,6.80,5.06,11.93
Other alcoholic beverages at full service restaurants*,4,45.79,13.15,19.32,34.72,54.64,107.06
Other alcoholic beverages at vending machines and mobile vendors*,4,.26,.29,b/,.66,.14,.22
Other alcohol at employer*,4,.04,b/,b/,.09,b/,.12
Other alcohol at board*,4,b/,b/,b/,b/,b/,b/
Other alcoholic beverages at catered affairs*,4,b/,b/,b/,b/,b/,b/
Alcoholic beverages purchased on trips,3,57.19,16.65,25.35,33.67,62.95,147.68
Mortgage interest,5,"2,781.24",528.17,919.65,"1,833.74","3,592.48","7,049.09"
"Interest paid, home equity loan",5,30.22,5.64,17.71,18.83,33.58,75.48
"Interest paid, home equity line of credit",5,77.97,11.60,39.91,57.19,81.22,200.36
Property taxes,4,"1,969.31",714.12,"1,168.65","1,468.17","2,196.09","4,307.74"
Homeowners insurance,5,428.76,190.79,330.52,388.29,492.79,742.43
Ground rent,5,53.72,38.92,113.79,58.70,49.88,6.92
Painting and papering,6,85.10,24.56,46.21,52.45,43.99,258.81
Plumbing and water heating,6,73.84,28.79,54.13,61.09,54.60,170.89
"Heat, a/c, electrical work",6,152.01,43.64,114.51,104.10,152.28,346.09
Roofing and gutters,6,138.75,66.86,116.34,151.98,153.03,205.74
Other repair and maintenance services,6,224.63,120.10,105.85,133.29,292.11,472.84
Repair of built-in appliances,6,2.74,1.92,1.96,2.33,2.02,5.48
"Flooring installation, repair, replacement",6,96.91,27.87,37.45,50.09,166.27,203.36
"Paints, wallpaper and supplies",6,22.87,6.35,11.12,30.08,31.38,35.45
Tools and equipment for painting and wallpapering,6,2.46,.68,1.20,3.23,3.37,3.81
Plumbing supplies and equipment,6,9.64,3.36,6.65,9.07,12.36,16.78
"Electrical supplies, heating and cooling equipment",6,8.57,1.08,2.22,4.93,20.47,14.19
Materials and equipment for roof and gutters,6,9.72,11.90,7.06,5.38,8.58,15.70
"Materials for plaster., panel., siding, windows, doors, screens, awnings",6,15.23,3.12,5.44,16.07,24.76,26.84
"Materials for patio, walk, fence, driveway, masonry, brick and stucco work",6,2.39,.16,.41,1.68,4.11,5.61
Materials for landscaping maintenance,6,b/,b/,b/,b/,b/,b/
"Material for insulation, other maintenance and repair",7,27.57,6.29,11.37,24.72,36.85,58.77
"Materials to finish basement, remodel rooms or build patios, walks, etc. (maint., repair and repl. - owned properties)",7,1.51,3.75,3.04,b/,.74,b/
Property management,6,69.60,38.95,51.90,62.65,68.36,126.35
Management and upkeep services for security,6,10.66,4.49,8.11,7.74,10.20,22.80
Parking,5,b/,b/,b/,b/,b/,b/
Rent,4,"3,858.33","4,005.67","4,196.24","4,265.87","3,724.96","3,095.67"
Rent as pay,4,94.39,224.59,91.10,74.58,65.28,16.32
Repair or maintenance services,6,38.56,13.04,42.01,32.35,30.50,74.96
Repair of built-in appliances,6,.16,b/,.13,.20,.08,.38
"Flooring installation, repair, replacement",6,3.44,4.32,2.08,4.21,4.92,1.65
"Paint, wallpaper, and supplies",6,3.09,3.97,2.28,3.53,3.01,2.67
Tools and equipment for painting and wallpapering,6,.33,.43,.25,.38,.32,.29
"Materials for plastering, panels, roofing, gutters, etc",6,1.98,1.70,1.20,.44,1.00,5.59
"Materials for patio, walk, fence, driveway, masonry, brick and stucco work",6,.15,.08,.02,.24,a/,.39
Plumbing supplies and equipment,6,1.30,1.37,1.01,.74,1.30,2.06
"Electrical supplies, heating and cooling equipment",6,1.33,1.34,.52,1.58,2.78,.44
"Material for insulation, other maintenance and repair",7,3.05,.82,2.27,4.20,4.83,3.11
"Materials for additions, finishing basements, remodeling rooms",7,4.87,1.77,3.87,3.97,4.19,10.55
Construction materials for jobs not started,7,.10,b/,.13,b/,.07,.32
Mortgage interest,6,79.40,1.32,17.28,27.73,45.83,305.58
"Interest paid, home equity loan",6,.34,.11,b/,b/,.61,.97
"Interest paid, home equity line of credit",6,4.17,1.42,b/,b/,1.60,17.90
Property taxes,5,119.46,19.35,50.47,53.37,104.17,370.79
Homeowners insurance,6,20.34,1.36,3.58,6.78,43.56,46.58
Ground rent,6,5.91,.11,9.12,3.81,7.46,9.04
Repair and remodeling services,7,19.55,10.06,12.08,2.66,15.17,57.92
"Flooring installation, repair, replacement",7,2.23,b/,.19,.04,2.07,8.89
"Paints, wallpaper, supplies",7,.23,b/,.03,.03,.13,.96
Tools and equipment for painting and wallpapering,7,.02,b/,a/,a/,.01,.10
"Materials for plastering, paneling, roofing, gutters, downspouts, siding, windows, doors, screens, and awnings",7,.55,b/,b/,b/,1.79,.94
"Material for patio, walk, fence, drive, masonry, brick, stucco",7,b/,b/,b/,b/,b/,b/
Plumbing supplies and equipment,7,b/,b/,b/,b/,b/,b/
"Electrical supplies, heating and cooling equipment",7,.01,b/,b/,b/,b/,.06
"Material for insulation, other maintenance and repair",8,b/,b/,b/,b/,b/,b/
Material for finishing basements and remodeling rooms,8,b/,b/,b/,b/,b/,b/
Materials for landscaping maintenance,7,b/,b/,b/,b/,b/,b/
Property management,7,10.76,1.32,6.22,4.17,8.79,33.38
Management and upkeep services for security,7,3.44,.02,.06,2.04,1.80,13.32
Parking,6,.04,b/,b/,b/,b/,.18
Housing while attending school,4,56.20,10.44,48.40,16.50,25.37,180.60
Lodging on out-of-town trips,4,475.29,123.78,197.74,261.57,477.72,"1,318.62"
Utility-natural gas (renter),4,78.01,85.08,100.73,79.67,75.57,48.81
Utility-natural gas (owned home),4,272.36,132.42,184.44,241.88,305.67,498.24
Utility-natural gas (owned vacation),4,2.45,.44,.99,.45,1.68,8.74
Utility-natural gas (rented vacation),4,1.76,2.33,2.00,1.35,.95,2.16
Electricity (renter),4,375.76,434.10,461.02,446.71,337.83,198.38
Electricity (owned home),4,"1,048.61",565.35,835.79,975.03,"1,212.28","1,656.66"
Electricity (owned vacation),4,12.27,1.37,6.81,4.33,14.16,34.74
Electricity (rented vacation),4,7.17,12.11,5.04,9.49,4.47,4.74
Fuel oil (renter),5,3.61,4.45,3.41,4.58,2.06,3.54
Fuel oil (owned home),5,38.67,15.70,27.69,30.01,45.38,74.71
Fuel oil (owned vacation),5,1.29,.35,.72,.53,.53,4.34
Fuel oil (rented vacation),5,.07,b/,b/,.22,.15,b/
"Coal, wood, other fuels (renter)",5,.66,.27,1.33,.80,.72,.16
"Coal, wood, other fuels (owned home)",5,3.62,1.21,4.22,3.08,5.24,4.34
"Coal, wood, other fuels (owned vacation)",5,.07,b/,.33,b/,b/,.02
"Coal, wood, other fuels (rented vacation)",5,.06,b/,b/,.32,b/,b/
"Gas, btld/tank (renter)",5,4.07,5.39,6.48,6.91,1.01,.54
"Gas, btld/tank (owned home)",5,28.99,18.95,27.96,32.03,29.22,36.79
"Gas, btld/tank (owned vacation)",5,3.97,.72,1.23,2.40,4.07,11.44
"Gas, btld/tank (rented vacation)",5,.16,.05,.18,.18,.04,.35
Phone cards,5,8.69,10.85,11.00,10.21,6.51,4.86
Residential telephone including VOIP,5,298.64,219.29,284.85,279.36,292.39,417.56
Cellular phone service,4,"1,123.69",489.25,798.96,"1,137.92","1,453.38","1,741.44"
Water/sewer maint. (renter),5,78.94,83.20,87.10,87.70,79.74,56.89
Water/sewer maint. (owned home),5,335.45,153.11,241.38,318.16,392.28,573.15
Water/sewer maint. (owned vacation),5,2.80,.71,1.70,1.22,3.19,7.20
Water/sewer maint. (rented vacation),5,2.14,2.92,1.48,2.22,1.17,2.94
Trash/garb. coll. (renter),5,24.11,23.41,26.03,25.61,24.60,20.87
Trash/garb. coll. (owned home),5,117.38,54.94,90.93,107.26,147.27,186.74
Trash/garb. coll. (owned vacation),5,2.58,.65,1.70,1.10,1.92,7.53
Trash/garb. coll. (rented vacation),5,.83,.75,.43,.92,.52,1.54
Septic tank clean. (renter),5,.09,b/,.23,.09,.14,b/
Septic tank clean. (owned home),5,4.89,1.30,2.34,6.11,6.18,8.54
Septic tank clean. (owned vacation),5,.04,b/,b/,b/,.20,b/
Septic tank clean. (rented vacation),5,.02,b/,b/,.09,b/,b/
Babysitting and child care,4,113.03,21.33,43.61,74.76,101.69,324.48
"Care for elderly, invalids, handicapped, etc",4,57.97,92.03,68.55,27.18,55.81,46.25
Adult day care centers,4,-.09,b/,-2.92,.20,b/,2.28
"Day care centers, nursery, and preschools",4,285.69,36.58,60.99,125.79,298.30,909.10
Housekeeping services,4,144.47,63.42,75.00,56.65,76.85,451.39
"Gardening, lawn care service",4,141.04,54.07,99.08,101.76,113.59,337.28
Water softening service,4,4.97,2.89,3.59,5.90,4.01,8.46
"Household laundry and dry cleaning, sent out (nonclothing) not coin-operated*",4,15.81,5.00,3.82,7.07,13.34,49.79
Coin-operated household laundry and dry cleaning (nonclothing)*,4,9.16,7.99,6.29,11.51,8.74,11.28
Services for termite/pest control,4,22.05,10.33,11.96,16.29,24.37,47.38
Home security system service fee,4,31.82,11.65,18.41,20.75,36.55,71.87
Other home services,4,20.27,10.18,9.15,10.06,25.57,46.53
Termite/pest control products,4,5.51,2.58,2.99,4.07,6.09,11.84
"Moving, storage, freight",4,54.60,18.72,22.26,52.43,71.93,107.92
"Appliance repair, including service center",4,15.73,9.07,12.56,10.28,16.00,30.78
"Reupholstering, furniture repair",4,7.50,2.20,5.04,3.73,2.85,23.71
"Repairs/rentals of lawn and garden equipment, hand or power tools, other household equipment",4,8.03,1.91,4.85,11.21,7.52,14.69
Appliance rental,4,.75,.56,.80,1.18,.70,.48
Rental of office equipment for nonbusiness use,4,.77,.72,.45,1.11,.43,1.17
Repair of miscellaneous household equipment and furnishings*,4,1.44,3.59,.29,b/,2.41,.91
Repair of computer systems for nonbusiness use,4,5.10,2.97,4.10,5.52,6.02,6.87
Computer information services (internet),4,437.71,225.56,364.17,447.49,545.17,606.74
Installation of computer,4,.53,.62,.18,.63,.67,.56
"Rental and installation of dishwashers, range hoods, and garbage disposals",4,b/,b/,b/,b/,b/,b/
Soaps and detergents*,4,82.13,55.05,78.32,76.02,82.58,118.64
Other laundry cleaning products*,4,77.78,52.37,64.81,75.91,78.13,117.63
"Cleansing and toilet tissue, paper towels and napkins*",4,120.40,83.35,106.56,113.40,127.67,170.97
Miscellaneous household products*,4,156.69,80.40,106.35,148.91,176.09,271.55
Lawn and garden supplies*,4,86.26,25.74,54.85,84.56,85.38,180.64
"Stationery, stationery supplies, giftwrap*",4,78.71,36.69,61.96,68.33,80.79,145.70
Postage*,4,50.42,40.36,39.91,36.35,46.48,88.97
Delivery services*,4,8.09,2.09,4.09,19.10,7.19,7.97
Bathroom linens*,4,22.28,14.32,19.19,18.92,25.21,33.74
Bedroom linens*,4,52.42,15.29,40.63,46.04,75.80,84.30
Curtains and draperies,4,11.39,7.95,7.03,7.42,13.13,21.44
"Slipcovers, decorative pillows",4,3.65,1.93,2.16,2.18,4.91,7.09
"Kitchen, dining room, other linens*",4,8.73,3.75,5.69,5.71,8.78,19.72
Mattress and springs,4,94.91,28.23,66.97,75.94,100.21,203.53
Other bedroom furniture,4,78.42,32.81,46.35,55.46,84.83,172.97
Sofas,4,126.61,51.83,86.43,93.92,144.73,256.57
Living room chairs,4,40.68,15.06,38.11,37.12,47.88,65.27
Living room tables,4,11.45,3.81,7.64,10.18,12.63,23.02
"Kitchen, dining room furniture",4,34.65,12.43,24.73,18.61,41.93,75.68
Infants' furniture,4,9.67,2.33,7.39,4.16,12.82,21.66
Outdoor furniture,4,27.67,5.72,12.32,12.05,20.28,88.17
"Wall units, cabinets and other occasional furniture",4,35.75,8.69,22.85,26.53,43.40,77.39
"Floor coverings, nonpermanent",4,20.31,5.19,14.97,16.44,18.21,46.82
"Dishwashers (built-in), garbage disposals, range hoods, (renter)",4,1.34,1.07,.85,.60,1.35,2.84
"Dishwashers (built-in), garbage disposals, range hoods, (owned home)",4,23.43,5.98,18.40,14.58,21.16,57.14
"Refrigerators, freezers (renter)",4,11.30,7.06,9.21,15.19,8.52,16.56
"Refrigerators, freezers (owned home)",4,76.79,26.23,54.38,68.71,78.08,156.78
Clothes washer or dryer (renter),4,16.21,9.71,16.30,24.03,18.39,12.60
Clothes washer or dryer (owned home),4,56.66,20.82,32.55,52.30,77.23,100.57
"Cooking stoves, ovens (renter)",4,5.24,4.58,5.05,8.61,4.12,3.85
"Cooking stoves, ovens (owned home)",4,38.84,5.30,21.61,23.44,46.43,97.64
Microwave ovens (renter),4,4.17,5.35,4.78,5.23,2.63,2.87
Microwave ovens (owned home),4,9.12,3.55,5.13,8.32,10.22,18.43
Portable dishwasher (renter),4,.45,.10,.81,b/,b/,1.34
Portable dishwasher (owned home),4,.49,b/,.83,.33,.32,.99
Window air conditioners (renter),4,2.60,1.99,4.35,3.01,2.04,1.60
Window air conditioners (owned home),4,3.44,1.13,3.89,4.78,3.18,4.24
Electric floor cleaning equipment,4,22.28,11.43,15.40,22.56,24.87,37.19
Sewing machines,4,3.95,.95,6.60,4.78,2.21,5.20
Miscellaneous household appliances*,4,6.51,b/,5.46,7.24,7.99,11.85
Flatware,5,3.25,1.26,1.72,1.83,4.30,7.16
"Dinnerware, glassware, serving pieces*",5,32.60,10.03,22.15,28.10,53.02,49.68
Nonelectric cookware*,5,24.62,15.13,11.71,31.30,27.77,37.16
"Tableware, nonelectric kitchenware*",5,24.61,11.83,11.68,20.68,29.96,48.86
Small electric kitchen appliances,5,30.85,15.81,24.37,25.32,38.12,50.71
Portable heating and cooling equipment,5,7.21,3.80,6.50,8.54,7.28,9.97
Window coverings,4,16.65,2.13,6.98,7.87,23.59,42.78
Infants' equipment*,4,22.28,3.11,15.98,23.94,24.07,44.27
Laundry and cleaning equipment*,4,21.89,11.91,16.13,26.94,23.90,30.55
Outdoor equipment*,4,26.87,5.45,15.10,8.27,29.58,75.90
"Lamps, lighting fixtures, ceiling fans*",4,34.65,11.56,20.60,32.43,37.70,70.89
Clocks and other household decorative items*,4,162.75,59.34,63.13,113.69,121.10,456.15
Telephones and accessories*,4,57.39,15.77,33.56,51.04,67.71,118.79
Lawn and garden equipment*,4,49.14,12.16,32.00,38.14,58.43,104.88
Power tools*,4,50.29,6.25,16.24,60.10,63.46,105.31
Office furniture for home use,4,8.31,4.07,2.52,4.16,7.89,22.95
Hand tools*,4,20.14,8.09,14.63,13.22,26.93,37.81
"Indoor plants, fresh flowers",4,47.93,16.52,29.78,37.65,56.04,99.87
Closet and storage items*,4,19.62,3.77,8.70,16.13,17.80,51.66
Rental of furniture,4,6.24,3.65,6.89,9.47,10.15,1.02
Luggage*,4,31.42,2.47,.30,28.74,21.09,104.40
Computers and computer hardware for nonbusiness use,4,136.55,60.44,84.47,104.08,156.31,277.94
Portable memory,4,3.79,1.20,2.16,3.14,4.87,7.58
Computer software*,4,11.55,1.32,5.55,4.69,17.13,29.06
Computer accessories*,4,28.36,13.36,9.09,31.39,20.83,67.09
Internet services away from home,4,8.08,3.29,6.58,8.04,10.21,12.30
Business equipment for home use,4,2.81,1.12,2.33,2.14,3.34,5.11
Other hardware*,4,19.24,1.25,4.73,39.45,13.10,37.64
Other household appliances (owned home),4,10.99,8.59,3.70,14.01,7.97,20.73
Other household appliances (renter),4,1.66,1.96,.92,1.49,1.10,2.81
Miscellaneous household equipment and parts*,4,46.30,23.92,30.35,46.77,49.99,80.41
Men's suits,4,20.92,6.35,7.59,15.35,21.53,53.92
"Men's sportcoats, tailored jackets",4,9.78,3.02,2.25,3.21,8.87,31.62
Men's coats and jackets*,4,25.39,12.30,25.66,11.33,35.72,41.93
Men's underwear*,4,31.08,12.75,18.77,22.79,43.76,57.29
Men's hosiery*,4,15.79,9.41,11.81,14.11,17.14,26.48
Men's nightwear,4,1.69,1.04,.92,1.31,1.32,3.88
Men's accessories*,4,25.62,9.60,15.82,33.57,22.29,46.77
"Men's shirts, sweaters, and vests*",4,89.77,41.23,40.68,83.02,87.92,195.88
Men's active sportswear*,4,24.03,17.20,28.00,19.82,19.17,35.95
Men's pants and shorts*,4,74.23,41.03,63.17,63.32,60.81,142.77
Men's uniforms,4,3.93,1.31,4.70,2.82,3.76,7.08
Men's costumes,4,.82,.10,.45,.33,1.05,2.19
Boys' coats and jackets,4,5.66,2.58,3.61,5.14,7.78,9.20
Boy's shirts and sweaters*,4,29.14,17.49,15.08,26.84,33.88,52.40
Boys' underwear*,4,11.79,6.56,6.58,10.64,15.26,19.91
Boys' nightwear,4,1.07,.58,.61,.43,1.29,2.43
Boys' hosiery*,4,7.49,4.35,3.89,5.94,7.60,15.65
Boys' accessories*,4,5.88,3.54,2.99,5.74,4.23,12.89
"Boys' suits, sportcoats, vests",4,2.01,1.10,1.64,1.85,2.48,2.99
Boys' pants and shorts,4,25.89,10.81,16.16,25.75,29.79,47.02
Boys' uniforms and active sportswear*,4,13.66,4.57,15.74,7.55,14.43,26.01
Boys' costumes,4,1.03,.51,.60,.92,1.31,1.79
Women's coats and jackets*,4,40.00,19.64,23.18,19.96,41.73,95.43
Women's dresses*,4,61.35,27.28,26.07,34.19,82.08,137.04
